white_level,black_level,white_wins,black_wins,draws,time_seconds
facile,facile,27,23,0,0.44
facile,facile,36,14,0,0.45
facile,facile,21,29,0,0.44

facile,moyen,0,50,0,2.30
facile,moyen,1,49,0,2.60
facile,moyen,0,50,0,2.74

moyen,facile,49,1,0,2.20
moyen,facile,49,1,0,2.21
moyen,facile,50,0,0,2.15

moyen,moyen,18,25,7,8.70
moyen,moyen,22,17,11,11.03
moyen,moyen,23,21,6,8.50

facile,hard,0,50,0,38.84
facile,hard,0,50,0,33.71
facile,hard,0,50,0,35.41

hard,facile,50,0,0,24.23
hard,facile,50,0,0,26.25
hard,facile,50,0,0,28.50

moyen,hard,3,41,6,134.24
moyen,hard,3,42,5,205.62
moyen,hard,2,43,5,138.43

hard,moyen,37,4,9,252.17
hard,moyen,36,4,10,162.41
hard,moyen,39,7,4,370.75
hard,hard,11,28,11,453.93
hard,hard,13,27,10,938.45
hard,hard,11,21,18,785.22
